Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
CARTEREFE,@carterefe__,2024-11-16T13:58:43.000Z,True,"Ruger when you join Fc!! Na me go collect that inheritance ooooo No play with me!
Na me be Wizkid first son",325,1.3K,9.6K,162K,[],[],['\\u2764\\ufe0f'],https://pbs.twimg.com/profile_images/1549450047712018434/wDBE7tEk_normal.jpg,https://x.com/carterefe__/status/1857785372706591068,tweet_id:1857785372706591068
Damian Lillard,@Dame_Lillard,2024-11-16T04:17:02.000Z,True,Boxing is wild man. Serrano beat her twice and lost to her twice,944,9.5K,71K,3.4M,[],[],[],https://pbs.twimg.com/profile_images/1699184051826094080/HTx-IPFo_normal.jpg,https://x.com/Dame_Lillard/status/1857638988837752871,tweet_id:1857638988837752871
PhillyTheBoss.com,@PhillyTheBoss,2024-11-16T04:31:53.000Z,False,Kamala and Mike Tyson losing in the same month might send me to the Capitol.,515,12K,83K,2M,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1844774432218267655/QaIFt-LX_normal.jpg,https://x.com/PhillyTheBoss/status/1857642724003856407,tweet_id:1857642724003856407
Ricky Martin,@ricky_martin,2024-11-16T04:23:08.000Z,True,Serrano ganó. Le han robado la pelea a la nuestra.  #stolenfight #Headbutt,138,663,3.5K,434K,"['#stolenfight', '#Headbutt']",[],[],https://pbs.twimg.com/profile_images/1547262386587025409/rzyCrRHB_normal.jpg,https://x.com/ricky_martin/status/1857640523596525697,tweet_id:1857640523596525697
Jo,@MavsStan41,2024-11-16T06:00:43.000Z,True,"If Jake Paul is going to keep fighting senior citizens he needs to at least fight ones we hate, I need to see Jerry Jones next",16,877,5.6K,199K,[],[],[],https://pbs.twimg.com/profile_images/1803935309073162240/GHxhJFOF_normal.jpg,https://x.com/MavsStan41/status/1857665079853850720,tweet_id:1857665079853850720
Jeana,@jeanafruity,2024-11-16T11:50:28.000Z,False,"looking for a content partner! (serious)
- can last longer than 5 minutes
- at least 4 inches
- dominant 
- Iike Pokémon",125,12,685,29K,[],[],[],https://pbs.twimg.com/profile_images/1765101528866590720/ehlbBpmH_normal.jpg,https://x.com/jeanafruity/status/1857753095679152495,tweet_id:1857753095679152495
Elon Musk,@elonmusk,2024-11-16T06:07:44.000Z,True,,6.8K,4.8K,96K,39M,[],[],[],https://pbs.twimg.com/profile_images/1849727333617573888/HBgPUrjG_normal.jpg,https://x.com/elonmusk/status/1857666846972850592,tweet_id:1857666846972850592
Elon Musk,@elonmusk,2024-11-16T15:00:31.000Z,True,,2.8K,8.9K,91K,7.8M,[],[],['\\U0001f971'],https://pbs.twimg.com/profile_images/1849727333617573888/HBgPUrjG_normal.jpg,https://x.com/elonmusk/status/1857800924292354521,tweet_id:1857800924292354521
kira,@kirawontmiss,2024-11-16T17:10:56.000Z,True,hold up the fight might actually be rigged…,2.1K,3.9K,49K,4.2M,[],[],[],https://pbs.twimg.com/profile_images/1636443983990669326/xm-YehdR_normal.jpg,https://x.com/kirawontmiss/status/1857833745866232073,tweet_id:1857833745866232073
Dean Withers,@itsdeaann,2024-11-16T05:35:24.000Z,True,Fuck Jake Paul,551,3.1K,48K,823K,[],[],[],https://pbs.twimg.com/profile_images/1833607015119130624/y8Vm1xTj_normal.jpg,https://x.com/itsdeaann/status/1857658710811615361,tweet_id:1857658710811615361
Pingu,@heypingu_,2024-11-16T16:29:41.000Z,False,"WHITE CLAW HAS BEEN DRANK
POLO HAS BEEN PUT ON 
I AM READY FOR THIS UPSET!!!
THIS IS SPARTA",0,0,2,39,[],[],[],https://pbs.twimg.com/profile_images/1556044766797635584/lO4IX3LH_normal.jpg,https://x.com/heypingu_/status/1857823365710660027,tweet_id:1857823365710660027
cinesthetic.,@TheCinesthetic,2024-11-16T05:14:00.000Z,True,Margot Robbie photographed by Patrick Demarchelier for Vanity Fair,67,139,4.1K,102K,[],[],[],https://pbs.twimg.com/profile_images/1385452682517745667/mfcIUnoX_normal.jpg,https://x.com/TheCinesthetic/status/1857653322628698186,tweet_id:1857653322628698186
Phil McNamara,@philindc,2024-11-15T13:09:41.000Z,True,Will always be proud of the work I’ve contributed to  working for ! We’ve grown DOT’s workforce by nearly 7 percent to meet the moment and implement the infrastructure law or what the boss calls The Big Deal. #Transportation,2,35,161,3.1K,['#Transportation'],"['@USDOT', '@SecretaryPete']",[],https://pbs.twimg.com/profile_images/378800000247740284/a9c85c2e3043dd09399c328c08854c42_normal.jpeg,https://x.com/philindc/status/1857410644229640501,tweet_id:1857410644229640501
Vice President Kamala Harris,@VP,2024-11-16T17:40:21.000Z,True,"For years, people talked about fixing America’s roads and bridges. President Biden and I are getting it done with our Bipartisan Infrastructure Law.",3.5K,1.9K,12K,925K,[],[],[],https://pbs.twimg.com/profile_images/1380657780865044480/BBxmnji2_normal.jpg,https://x.com/VP/status/1857841149089620133,tweet_id:1857841149089620133
axel,@luhaxel,2024-11-16T05:31:04.000Z,True,I’m telling my kids this was Mike Tyson,508,3.9K,47K,1.9M,[],[],[],https://pbs.twimg.com/profile_images/1783882778683072512/xRCbqiy__normal.jpg,https://x.com/luhaxel/status/1857657617155322367,tweet_id:1857657617155322367
Carlos Akapo,@carlosakapo,2024-11-15T17:45:25.000Z,False,"Es increíble lo que estamos consiguiendo con esta selección, seguimos haciendo historia  Todo esto es gracias al apoyo incondicional del pueblo guineano, a estos grandes jugadores y staff ",12,6,126,3.9K,[],[],"['\\U0001f4aa\\U0001f3fe', '\\U0001f1ec\\U0001f1f6']",https://pbs.twimg.com/profile_images/1748235494314434560/b2Jk-AE4_normal.jpg,https://x.com/carlosakapo/status/1857480036430868810,tweet_id:1857480036430868810
Kyle Bass,@Jkylebass,2024-11-16T14:43:08.000Z,True,Liberal fatalists continue to be ungrateful in defeat. Trump’s eventual policies will include proper safeguards in place to unleash the animal spirits that the Biden-Harris administration had all it ruined. Lina Khan at the FTC will be removed and business activity will expand.,23,20,197,27K,[],[],[],https://pbs.twimg.com/profile_images/1807806285951508480/p-jDZAXK_normal.jpg,https://x.com/Jkylebass/status/1857796549117460896,tweet_id:1857796549117460896
Taylor Swift,@taylorswift13,2024-11-16T16:34:19.000Z,True,Just 13 days til The Tortured Poets Department: The Anthology on vinyl and CD AND The Official Eras Tour Book are all available for the first time ever at ! International info coming soon ,3.6K,16K,77K,2.5M,[],['@Target'],"['\\U0001f381', '\\U0001f90d', '\\U0001faf6']",https://pbs.twimg.com/profile_images/1766836345450672128/HpuBz514_normal.jpg,https://x.com/taylorswift13/status/1857824530015691031,tweet_id:1857824530015691031
Alex Cole,@acnewsitics,2024-11-16T10:16:58.000Z,True,Where the black people at? ,9.9K,3.1K,19K,1.8M,[],[],['\\U0001f923'],https://pbs.twimg.com/profile_images/1798536844428103680/_z_-gkii_normal.jpg,https://x.com/acnewsitics/status/1857729565478564199,tweet_id:1857729565478564199
IcyVert,@IcyVert,2024-11-16T04:27:18.000Z,True,I hope that cut can heal up it’s absolutely massive,1.3K,3.2K,130K,12M,[],[],[],https://pbs.twimg.com/profile_images/1786594438875140096/Vg1ohYPa_normal.jpg,https://x.com/IcyVert/status/1857641569349742711,tweet_id:1857641569349742711
TrishCrave,@TrishCrave,2024-11-16T05:41:41.000Z,True,Trisha Paytas has won the fight against Mike Tyson.,8,331,4.8K,75K,[],[],[],https://pbs.twimg.com/profile_images/1800786460075061248/nLgduAV4_normal.jpg,https://x.com/TrishCrave/status/1857660290378465373,tweet_id:1857660290378465373
Darling ♡【VDreams】,@darlingalamode,2024-11-16T05:10:27.000Z,False,taking a bubble bath in the barbie sweet roses beauty bath (1987) would fix me,21,1.4K,9.2K,100K,[],[],[],https://pbs.twimg.com/profile_images/1853265678318653440/H4WDeyQ7_normal.jpg,https://x.com/darlingalamode/status/1857652431812690348,tweet_id:1857652431812690348
Gunther Eagleman™,@GuntherEagleman,2024-11-16T01:46:34.000Z,True,Best. Upgrade. Ever.,1.6K,9.9K,102K,1.7M,[],[],[],https://pbs.twimg.com/profile_images/1606836521784512512/Xb-_cXXi_normal.jpg,https://x.com/GuntherEagleman/status/1857601120010375490,tweet_id:1857601120010375490
Kevincho,@KEVINCHO_TV,2024-11-16T19:45:20.000Z,False,NWSL has better team names than you know who,4,1,16,938,[],[],[],https://pbs.twimg.com/profile_images/1853442038303203328/hTQsYKgh_normal.jpg,https://x.com/KEVINCHO_TV/status/1857872601953263895,tweet_id:1857872601953263895
Kevin Sorbo,@ksorbs,2024-11-16T16:36:21.000Z,True,Why is the left so obsessed with race?,3.9K,1.4K,16K,272K,[],[],[],https://pbs.twimg.com/profile_images/973666854995599361/A_xzZ5Qv_normal.jpg,https://x.com/ksorbs/status/1857825040424632590,tweet_id:1857825040424632590
Historic Vids,@historyinmemes,2024-11-15T21:49:20.000Z,True,"Mike Tyson had a 20 inch (50.8 cm) neck at the age of 18.

""I paid a worker at New York's zoo to re-open it just for me and Robin. When we got to the gorilla cage there was one big silverback gorilla there just bullying all the other gorillas. They were so powerful but their eyes",1.5K,10K,200K,39M,[],[],[],https://pbs.twimg.com/profile_images/1648334723725361152/ev7V1230_normal.jpg,https://x.com/historyinmemes/status/1857541417666502697,tweet_id:1857541417666502697
Netflix,@netflix,2024-11-16T05:54:35.000Z,True,Mike Tyson biting fixation confirmed (again) #PaulTyson,1.8K,3.2K,79K,5.2M,['#PaulTyson'],[],[],https://pbs.twimg.com/profile_images/1792606763340169216/XXYWIqyY_normal.jpg,https://x.com/netflix/status/1857663535041646924,tweet_id:1857663535041646924
Wall Street Mav,@WallStreetMav,2024-11-16T06:40:54.000Z,True,Jake Paul will challenge Rocky Balboa (age 78) for his next fight.,449,980,13K,540K,[],[],[],https://pbs.twimg.com/profile_images/1482179968083836928/7prxRZ4M_normal.jpg,https://x.com/WallStreetMav/status/1857675194485141560,tweet_id:1857675194485141560
Jessica Rośe,@iamjessicarosee,2024-11-16T03:54:47.000Z,False,Mike Tyson really said ,764,17K,94K,3.2M,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1853502135075274752/-Is0UUXA_normal.jpg,https://x.com/iamjessicarosee/status/1857633387692933301,tweet_id:1857633387692933301
John Rich,@johnrich,2024-11-16T15:57:09.000Z,True,Only the USA and New Zealand allow drug companies to advertise on TV. Why? The FDA has allowed multi-billion dollar drug dealers to market us into perpetual addiction and sickness. RFK Jr intends on kicking them off the airwaves. That alone is reason enough to confirm him.,412,2.7K,10K,78K,[],[],[],https://pbs.twimg.com/profile_images/1784252718506209280/uF1g9rVg_normal.jpg,https://x.com/johnrich/status/1857815175887261817,tweet_id:1857815175887261817
juju,@ayeejuju,2024-11-16T03:36:20.000Z,True,Netflix headquarters rn,816,9.2K,107K,3.2M,[],[],[],https://pbs.twimg.com/profile_images/1587176262094626816/C2dyZYPs_normal.jpg,https://x.com/ayeejuju/status/1857628743285809234,tweet_id:1857628743285809234
Pop Base,@PopBase,2024-11-16T05:35:30.000Z,True,Jake Paul has won the fight against Mike Tyson. #PaulTyson,1.3K,4.1K,19K,5.5M,['#PaulTyson'],[],[],https://pbs.twimg.com/profile_images/1268086791443230737/BRGz4AiW_normal.jpg,https://x.com/PopBase/status/1857658732639039818,tweet_id:1857658732639039818
FearBuck,@FearedBuck,2024-11-16T05:43:03.000Z,True,"Mike Tyson: I'm not done... I might wanna fight logan!

Logan Paul: Mike I'll k*ll you",2.3K,2.3K,77K,7.5M,[],[],[],https://pbs.twimg.com/profile_images/1767253449295470592/1mP-x_PT_normal.jpg,https://x.com/FearedBuck/status/1857660635028378101,tweet_id:1857660635028378101
Nolan,@MLSFAN20,2024-11-16T19:59:45.000Z,False,Congrats to the Washington Spirit on making it to the #NWSLChampionship!,0,0,1,47,['#NWSLChampionship'],[],[],https://pbs.twimg.com/profile_images/1844558120749760513/CuQ-1r4h_normal.jpg,https://x.com/MLSFAN20/status/1857876231070560621,tweet_id:1857876231070560621
Female DIO,@DIOButFemale,2024-11-16T12:28:28.000Z,False,Raditz Before the Saiyan Saga,22,644,6.8K,76K,[],[],[],https://pbs.twimg.com/profile_images/1852589376372609024/UuLCgp7I_normal.jpg,https://x.com/DIOButFemale/status/1857762660219236401,tweet_id:1857762660219236401
Rosanna Pansino,@RosannaPansino,2024-11-16T06:05:55.000Z,True,Pull up to my table tomorrow morning and listen to my Rodiculous Podcast! ,20,36,959,36K,[],[],"['\\U0001f95e', '\\U0001f34a', '\\U0001f942']",https://pbs.twimg.com/profile_images/1836584298448891904/via3z9Nw_normal.jpg,https://x.com/RosannaPansino/status/1857666387101069805,tweet_id:1857666387101069805
The Eras Tour,@tswifterastour,2024-11-16T16:49:12.000Z,True,"| Taylor Swift's ""THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY"" physicals will officially have 4 bonus acoustic tracks!

- Fortnight (feat. Post Malone)
- Down Bad
- But Daddy I Love Him
- Guilty as Sin?",98,699,8.4K,199K,[],[],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/1791483940974587904/Fzozmq2Z_normal.jpg,https://x.com/tswifterastour/status/1857828274992488794,tweet_id:1857828274992488794
giggly ♡,@xgigglypuff,2024-11-15T22:22:06.000Z,True,"Thank you you  for featuring me and my success in an article!

Just like Elle Woods proved in Legally Blonde, women can be pretty, extremely feminine, blonde, and even dress up as a playboy bunny for halloween— and still be smart! 

Hope you all enjoy ",206,457,7.7K,165K,[],['@Playboy'],['\\U0001fa77'],https://pbs.twimg.com/profile_images/1649076653312843776/VhBnfJfi_normal.jpg,https://x.com/xgigglypuff/status/1857549665404858609,tweet_id:1857549665404858609
Ferris,@1998hondacoupe,2024-11-16T01:26:24.000Z,False,Who else is watching the fight rn??,357,23K,243K,4.7M,[],[],[],https://pbs.twimg.com/profile_images/1837105542554324992/ZhUSWWsK_normal.jpg,https://x.com/1998hondacoupe/status/1857596047524307137,tweet_id:1857596047524307137
Nicki Minaj,@NICKIMINAJ,2024-11-16T17:43:52.000Z,True,Clap for the heavyweight CHAMP -  BARBZ,326,1.2K,8.4K,119K,[],[],[],https://pbs.twimg.com/profile_images/1717601605833695232/tmJ6cbTv_normal.jpg,https://x.com/NICKIMINAJ/status/1857842034788413639,tweet_id:1857842034788413639
